country,year,co2,gdp,label
Afghanistan,1985,0.293957030722544,0.0741875000510963,2
Albania,1985,2.65801538201043,0.0639865909445734,2
Algeria,1985,3.24482358675233,0.258287901344273,2
American Samoa,1985,3.3292250959780496,0.292612648531698,2
Andorra,1985,2.65801538201043,0.777561421691636,2
Angola,1985,0.4719029615861,0.07587450631521579,2
Antigua and Barbuda,1985,4.03586631059319,0.389939183968301,2
Argentina,1985,3.3292250959780496,0.292612648531698,2
Armenia,1985,3.3292250959780496,0.292612648531698,2
Aruba,1985,6.48356181772004,0.0741875000510963,1
Australia,1985,15.3084102043407,1.1459179567837,0
Austria,1985,7.23076635313884,0.917209676001833,1
Azerbaijan,1985,7.23076635313884,0.917209676001833,1
"Bahamas, The",1985,6.44049126307129,0.989304200290734,1
Bahrain,1985,24.3051489170966,0.870676660148502,0
Bangladesh,1985,0.112760309188052,0.0245453912291425,2
Barbados,1985,3.3055373448841,0.550041411424655,2
Belarus,1985,6.44049126307129,0.989304200290734,1
Belgium,1985,10.5974402503959,0.8750818512505361,1
Belize,1985,1.15623521992748,0.128939074367083,2
Benin,1985,0.1739863625166,0.0244410941733101,2
Bermuda,1985,7.92718548982389,1.8269535519701903,1
Bhutan,1985,0.134274895318181,0.0351679895132503,2
Bolivia,1985,0.667594741288074,0.0870185648376456,2
Bosnia and Herzegovina,1985,6.44049126307129,0.989304200290734,1
Botswana,1985,1.08338467723463,0.10422397538747401,2
Brazil,1985,1.33986351990277,0.15589079345103102,2
British Virgin Islands,1985,3.41703103720163,0.357778343228627,2
Brunei Darussalam,1985,11.5676171805382,1.56995747775143,1
Bulgaria,1985,9.99278347627662,0.191455064658793,1
Burkina Faso,1985,0.0616868109713521,0.02008943517994,2
Burundi,1985,0.0486274825125367,0.0242058503810168,2
Cabo Verde,1985,0.270611676527587,0.044190662888927,2
Cambodia,1985,0.0541858384574046,0.0308648702706922,2
Cameroon,1985,0.643039097367182,0.0848473279523312,2
Canada,1985,16.332990456354302,1.41148077599664,0
Cayman Islands,1985,9.79876670092498,0.226982521869396,1
Central African Republic,1985,0.0634686114618613,0.034020138899431,2
Chad,1985,0.0352637673195431,0.0202745556775734,2
Chile,1985,1.75433388827075,0.14442801382750198,2
China,1985,1.87105479144466,0.029445884850496,2
Colombia,1985,1.61525216657473,0.11650424137342599,2
Comoros,1985,0.134157152224508,0.055363240265430394,2
"Congo, Dem. Rep.",1985,0.121860176936539,0.024078809815766898,2
"Congo, Rep.",1985,0.622975230588597,0.105187369246428,2
Costa Rica,1985,0.8280740551002859,0.14320812477993,2
Cote d'Ivoire,1985,0.73870894367569,0.0703519515159779,2
Croatia,1985,0.202028060062536,0.123286961535159,2
Cuba,1985,3.2261753174666805,0.226982521869396,2
Curacao,1985,3.2261753174666805,0.226982521869396,2
Cyprus,1985,4.408566791815759,0.44882870025945304,2
Czech Republic,1985,4.408566791815759,0.44882870025945304,2
Denmark,1985,11.7474430895414,1.2253100214178498,1
Djibouti,1985,0.844359128587808,0.08011821393582699,2
Dominica,1985,0.651180898001557,0.163224736654914,2
Dominican Republic,1985,1.12831135778142,0.07803858657861569,2
Ecuador,1985,2.14330671402257,0.189156247890302,2
"Egypt, Arab Rep.",1985,1.29799970872166,0.0792824041999649,2
El Salvador,1985,0.402591312636943,0.07698035753097701,2
Equatorial Guinea,1985,0.1874552704222469,0.0176415058814545,2
Eritrea,1985,1.29799970872166,0.0792824041999649,2
Estonia,1985,5.23099848524203,0.46996557636727404,1
Eswatini,1985,0.629458557497958,0.0515072560342456,2
Ethiopia,1985,0.0446511483059222,0.0233218696082903,2
Faroe Islands,1985,11.4067905047653,0.9763327404029649,1
Fiji,1985,0.8140073338297479,0.160321935409912,2
Finland,1985,10.131326182539,1.13981059531509,1
France,1985,7.07584870756449,0.9763327404029649,1
French Polynesia,1985,3.31435285610991,0.851427365159243,2
Gabon,1985,7.63896448706153,0.4038068544182,1
"Gambia, The",1985,0.228037909951296,0.0298660412324448,2
Georgia,1985,9.90013978359926,0.865221654247593,1
